"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"1676","103","1066","132","610","143","1400000US33017084400","Census Tract 844, Strafford County, New Hampshire"
"1574","113","983","111","591","110","1400000US33017084500","Census Tract 845, Strafford County, New Hampshire"
"1238","96","947","77","291","101","1400000US33017084600","Census Tract 846, Strafford County, New Hampshire"
"3183","200","2904","213","279","139","1400000US33017085000","Census Tract 850, Strafford County, New Hampshire"
"1395","85","1271","89","124","57","1400000US33017086000","Census Tract 860, Strafford County, New Hampshire"
"2868","200","1931","249","937","230","1400000US33017087000","Census Tract 870, Strafford County, New Hampshire"
"1811","105","1602","107","209","92","1400000US33017088000","Census Tract 880, Strafford County, New Hampshire"
"1611","78","1478","80","133","47","1400000US33017088500","Census Tract 885, Strafford County, New Hampshire"
"1656","104","1489","102","167","53","1400000US33019975100","Census Tract 9751, Sullivan County, New Hampshire"
"1957","179","1737","193","220","88","1400000US33019975200","Census Tract 9752, Sullivan County, New Hampshire"
"1393","139","1044","138","349","122","1400000US33019975300","Census Tract 9753, Sullivan County, New Hampshire"
"2600","168","1743","186","857","184","1400000US33019975400","Census Tract 9754, Sullivan County, New Hampshire"
"1207","98","1089","93","118","38","1400000US33019975500","Census Tract 9755, Sullivan County, New Hampshire"
"1198","90","1094","84","104","27","1400000US33019975600","Census Tract 9756, Sullivan County, New Hampshire"
"2086","184","1584","209","502","134","1400000US33019975700","Census Tract 9757, Sullivan County, New Hampshire"
"1937","154","1278","153","659","135","1400000US33019975800","Census Tract 9758, Sullivan County, New Hampshire"
"1875","162","956","152","919","212","1400000US33019975901","Census Tract 9759.01, Sullivan County, New Hampshire"
"1419","149","687","114","732","144","1400000US33019975902","Census Tract 9759.02, Sullivan County, New Hampshire"
"532037","2311","378178","2687","153859","2373","0400000US33","New Hampshire"
