"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"1147","75","893","63","770","67","123","33","63","25","60","20","254","46","190","41","64","23","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"1648","127","993","112","785","122","208","80","47","43","161","70","655","134","512","121","143","57","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"2176","156","1483","159","1083","197","400","162","158","104","242","122","693","206","587","190","106","88","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"909","54","676","65","595","61","81","41","23","23","58","32","233","64","152","62","81","39","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"3387","147","2285","171","1876","187","409","126","139","65","270","111","1102","185","914","171","188","95","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"1221","116","746","100","651","102","95","50","38","33","57","35","475","123","371","113","104","75","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
"727","64","451","50","407","56","44","25","14","12","30","23","276","61","236","51","40","41","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"830","82","357","60","317","53","40","34","16","16","24","30","473","96","396","93","77","43","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"923","116","488","98","343","77","145","69","60","46","85","51","435","98","321","82","114","58","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"1820","118","1376","99","1069","116","307","110","69","58","238","100","444","114","378","108","66","37","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"2817","137","2233","115","2012","161","221","127","117","107","104","71","584","150","480","129","104","66","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"2957","144","1878","143","1621","144","257","86","154","77","103","49","1079","182","746","175","333","137","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"1678","110","795","98","590","98","205","84","86","60","119","65","883","129","536","124","347","99","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"2174","146","766","112","666","110","100","61","75","55","25","27","1408","166","1089","190","319","122","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
