"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4782","0.0437","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"0.3695","0.0268","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
"0.3986","0.0197","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"0.4668","0.0806","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"0.4194","0.0381","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"0.4510","0.0629","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"0.4478","0.0516","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"0.3909","0.0621","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
"0.4878","0.0571","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"0.4928","0.0695","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"0.4548","0.0444","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"0.4782","0.0454","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"0.4080","0.0347","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"0.4196","0.0303","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"0.3918","0.0320","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"0.5170","0.0455","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
"0.4137","0.0302","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"0.4707","0.0457","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"0.5240","0.0949","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"0.5343","0.0653","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"0.4653","0.0398","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"0.4059","0.0334","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"0.3593","0.0416","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"0.4510","0.0544","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"0.4373","0.0338","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"0.3882","0.0452","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"0.3482","0.0396","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
"0.3623","0.0371","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"0.4394","0.0421","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"0.3971","0.0513","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"0.4371","0.1061","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"0.3905","0.0390","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"0.3510","0.0390","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
"0.4596","0.0395","1400000US33015106200","Census Tract 1062, Rockingham County, New Hampshire"
"0.4736","0.0526","1400000US33015106400","Census Tract 1064, Rockingham County, New Hampshire"
"0.4731","0.0487","1400000US33015107100","Census Tract 1071, Rockingham County, New Hampshire"
"0.3702","0.0440","1400000US33015107200","Census Tract 1072, Rockingham County, New Hampshire"
"0.3919","0.0452","1400000US33015107400","Census Tract 1074, Rockingham County, New Hampshire"
"0.3822","0.0357","1400000US33015107500","Census Tract 1075, Rockingham County, New Hampshire"
"-","**","1400000US33015980011","Census Tract 9800.11, Rockingham County, New Hampshire"
"-","**","1400000US33015990000","Census Tract 9900, Rockingham County, New Hampshire"
"0.3426","0.0410","1400000US33017080100","Census Tract 801, Strafford County, New Hampshire"
"0.5650","0.0784","1400000US33017080202","Census Tract 802.02, Strafford County, New Hampshire"
"0.5738","0.0676","1400000US33017080203","Census Tract 802.03, Strafford County, New Hampshire"
"0.5506","0.0767","1400000US33017080204","Census Tract 802.04, Strafford County, New Hampshire"
"0.3678","0.0353","1400000US33017080500","Census Tract 805, Strafford County, New Hampshire"
"0.4054","0.0285","1400000US33017081100","Census Tract 811, Strafford County, New Hampshire"
"0.3805","0.0350","1400000US33017081200","Census Tract 812, Strafford County, New Hampshire"
"0.4189","0.0552","1400000US33017081300","Census Tract 813, Strafford County, New Hampshire"
"0.4204","0.0341","1400000US33017081400","Census Tract 814, Strafford County, New Hampshire"
"0.4356","0.0817","1400000US33017081500","Census Tract 815, Strafford County, New Hampshire"
"0.4827","0.0795","1400000US33017081600","Census Tract 816, Strafford County, New Hampshire"
"0.4316","0.0473","1400000US33017082000","Census Tract 820, Strafford County, New Hampshire"
"0.3981","0.0469","1400000US33017083001","Census Tract 830.01, Strafford County, New Hampshire"
"0.3369","0.0386","1400000US33017083002","Census Tract 830.02, Strafford County, New Hampshire"
"0.4712","0.0722","1400000US33017084100","Census Tract 841, Strafford County, New Hampshire"
"0.4631","0.0593","1400000US33017084200","Census Tract 842, Strafford County, New Hampshire"
"0.4067","0.0337","1400000US33017084300","Census Tract 843, Strafford County, New Hampshire"
"0.3885","0.0422","1400000US33017084400","Census Tract 844, Strafford County, New Hampshire"
"0.3422","0.0323","1400000US33017084500","Census Tract 845, Strafford County, New Hampshire"
"0.3984","0.0578","1400000US33017084600","Census Tract 846, Strafford County, New Hampshire"
"0.3966","0.0646","1400000US33017085000","Census Tract 850, Strafford County, New Hampshire"
"0.3501","0.0311","1400000US33017086000","Census Tract 860, Strafford County, New Hampshire"
"0.3690","0.0457","1400000US33017087000","Census Tract 870, Strafford County, New Hampshire"
"0.3460","0.0329","1400000US33017088000","Census Tract 880, Strafford County, New Hampshire"
"0.3761","0.0260","1400000US33017088500","Census Tract 885, Strafford County, New Hampshire"
"0.4603","0.0389","1400000US33019975100","Census Tract 9751, Sullivan County, New Hampshire"
"0.3560","0.0341","1400000US33019975200","Census Tract 9752, Sullivan County, New Hampshire"
"0.4949","0.1002","1400000US33019975300","Census Tract 9753, Sullivan County, New Hampshire"
"0.4293","0.0444","1400000US33019975400","Census Tract 9754, Sullivan County, New Hampshire"
"0.4023","0.0388","1400000US33019975500","Census Tract 9755, Sullivan County, New Hampshire"
"0.3736","0.0268","1400000US33019975600","Census Tract 9756, Sullivan County, New Hampshire"
"0.4300","0.0649","1400000US33019975700","Census Tract 9757, Sullivan County, New Hampshire"
"0.3784","0.0343","1400000US33019975800","Census Tract 9758, Sullivan County, New Hampshire"
"0.4175","0.0529","1400000US33019975901","Census Tract 9759.01, Sullivan County, New Hampshire"
"0.4516","0.0748","1400000US33019975902","Census Tract 9759.02, Sullivan County, New Hampshire"
"0.4384","0.0039","0400000US33","New Hampshire"
